0 30666
1 30222
2 30000
3 29111
4 26222
5 21333
6 14666
7 8444
8 4666
9 3111
10 2222
11 1555
12 1555
13 1555
14 1333
15 1333
16 1555
17 2888
18 6666
19 14888
20 24000
21 28222
22 30444
23 30444
